Search Query,Quelle,Datum,Link,Titel,Text
KI,Spiegel Online,2024-04-30,https://www.spiegel.de/netzwelt/gadgets/japan-ki-basiertes-baerenwarnsystem-soll-attacken-auf-menschen-verhindern-a-e3f2f6d8-0399-4d89-be78-7b54c03a0576,Japan: KI-basiertes Bärenwarnsystem soll Attacken auf Menschen verhindern - DER SPIEGEL,"Angriffe von Bären auf Menschen führen in Japan immer wieder zu Verletzungen und Todesfällen. Mithilfe künstlicher Intelligenz sollen sich die Tiere besser lokalisieren lassen. Mehr als 200 Menschen sind in Japan zuletzt binnen zwölf Monaten von Bären verletzt worden, sechs Personen kamen ums Leben. Als Reaktion auf diese Zahlen soll in der Präfektur Toyama nun ein KI-gestütztes Warnsystem getestet werden, berichtet der »Guardian« . Auch die Nachrichtenagentur Kyodo News hat von einer Quelle aus dem Regierungsumfeld von entsprechenden Plänen erfahren . Demnach soll das Pilotprojekt im Sommer starten. Schätzungen zufolge leben in Japan mehr als 50.000 Braun- und Schwarzbären. Laut dem »Guardian« soll der automatisierte Bärenalarm Livebilder von staatlichen, kommunalen und privaten Sicherheitskameras auswerten. Sobald das System Bären identifiziert, die sich in der Nähe von Menschen aufhalten, sollen Warnungen an die örtlichen Behörden, Polizeien oder auch Jäger gesendet werden. Mithilfe künstlicher Intelligenz (KI) werde zudem versucht, Bewegungsmuster der Wildtiere zu erkennen. Sollte sich das System als hilfreich erweisen, soll es auch in anderen Landesteilen mit großer Bärenpopulation eingeführt werden. Das Blatt berichtet auch noch von einem zweiten neuen Überwachungssystem in der Präfektur Iwate im Norden des Landes. In der Stadt Hanamaki werden demnach 30 Kameras entlang von Flüssen installiert, die von den nahe gelegenen Bergen Richtung Stadt fließen. Bei Bärensichtungen sollen Meldungen an eine Überwachungszentrale sowie an Anwohner geschickt werden, heißt es. Die höchste Zahl verletzter Menschen seit 2006 Kyodo News erklärt, die Zahl der erfassten Bärenangriffe mit Verletzten befinde sich auf einem Höchststand, die Statistik der Vorfälle wird seit 2006 geführt. Wie eine noch vergleichsweise glimpflich ausgegangene Bärenattacke aussehen kann, zeigt etwa dieses kürzlich auf YouTube veröffentlichte Dashcam-Video aus Japan . Für den Anstieg der Attacken gibt es verschiedene Erklärungen. Dazu zählen die zunehmende Entvölkerung ländlicher Gebiete und schlechte Ernten, die es auch Bären erschweren, Nahrung wie etwa Eicheln zu finden. Deshalb könnten sie möglicherweise vermehrt in von Menschen bewohnte Gebiete eindringen."
KI,Spiegel Online,2024-04-29,https://www.spiegel.de/netzwelt/netzpolitik/cybermobbing-durch-ki-schulleiterin-fuerchtet-eine-ganz-neue-form-des-mobbings-a-da6a6ca2-b237-4368-8963-8824370c5e85,Cybermobbing durch KI: Schulleiterin fürchtet eine ganz neue Form des Mobbings - DER SPIEGEL,"Gefälschte Nacktbilder von Kindern, manipulierte Sprachnachrichten – was künstliche Intelligenz ermöglicht, bereitet Schulleiterin und Buchautorin Silke Müller Sorgen. Aber sie sieht auch Chancen für das Schulsystem."
Künstliche Intelligenz,Spiegel Online,2024-04-25,https://www.spiegel.de/psychologie/kuenstliche-intelligenz-wenn-die-ki-diskutiert-a-0834036a-b22e-47fe-8683-ece0b72a4bbe,Künstliche Intelligenz: Wenn die KI diskutiert - DER SPIEGEL,"Können wir unterscheiden, ob wir es in sozialen Netzwerken mit echten Menschen oder mit AI-Bots zu tun haben? Um das zu untersuchen, haben Forscherinnen und Forscher der Notre-Dame-Universität im US-Bundesstaat Indiana folgendes Experiment durchgeführt: Über insgesamt drei Runden ließen sie menschliche Teilnehmer und Bots in einem speziell eingerichteten Bereich im sozialen Netzwerk Mastodon über politische Themen diskutieren. Die Bots waren dabei mit unterschiedlichen Persönlichkeiten und realistischen politischen Weltbildern ausgestattet worden. Im Anschluss an jede Runde baten die Forscherinnen und Forscher die menschlichen Teilnehmer des Experiments einzuschätzen, hinter welchen Diskussionsteilnehmern künstliche Intelligenz steckte. Das Ergebnis: 58 Prozent der Einschätzungen waren falsch. In mehr als der Hälfte der Fälle konnten die Teilnehmerinnen und Teilnehmer also nicht richtig erkennen, ob sie mit einem Menschen oder einem Bot diskutiert hatten. Laut Paul Brenner, einem der Forscher hinter der Studie, ist dieses Ergebnis vor allem vor dem Hintergrund relevant, dass wir Informationen mehr Bedeutung zumessen, wenn wir davon ausgehen, dass sie von einem anderen Menschen stammen. AI-Bots, die wir nicht als solche erkennen, sind also beispielsweise besonders wirkungsvoll darin, Falschinformationen zu verbreiten."
KI,Spiegel Online,2024-04-26,https://www.spiegel.de/netzwelt/apps/ki-stimmengenerator-sportlehrer-soll-rassistische-bemerkungen-gefaelscht-haben-a-f267a6f9-a236-4c0a-b3e3-20f3d624235e,USA: Sportlehrer soll rassistische Bemerkungen mit KI gefälscht haben - DER SPIEGEL,"Ein Schulleiter in Maryland musste den Dienst quittieren, nachdem angebliche Aufnahmen von rassistischen Bemerkungen aufgetaucht waren. Laut Polizei waren die jedoch KI-generiert, sie verhaftete nun einen Lehrer. Ein Sportdirektor einer Highschool im US-Bundesstaat Maryland wird beschuldigt, mit einem Stimmengenerator auf Basis künstlicher Intelligenz (KI) seinem Schulleiter rassistische und antisemitische Äußerungen angedichtet zu haben. Monate, nachdem der Vorgesetzte seinen Posten ruhen lassen musste, wurde die im Internet gestreute Aufnahme als Fälschung enttarnt, die Polizei nahm den mutmaßlichen Fälscher fest. Als Grund vermuten die Ermittler berufliche Konflikte. So soll der Beschuldigte Dazhon Darien Schulgelder veruntreut und seine Kompetenzen überschritten haben, seine Weiterbeschäftigung stand infrage. Im Januar tauchten die vermeintlichen Aufnahmen auf, in denen der Schulleiter Schüler rassistisch beleidigte und antisemitische Bemerkungen machte. Fälschungen lösen Welle der Empörung aus Eine Online-Rufmordkampagne folgte: Die Fälschungen wurden in sozialen Medien weiterverbreitet, Bürger beschwerten sich bei der Schulverwaltung. Schließlich musste der Schulleiter seinen Posten räumen, auch wenn er nicht sofort entlassen wurde, wie lokale Medien berichten . Er selbst bestritt die Vorwürfe. Ermittlungen ergaben nun: Die vermeintlichen Aufnahmen waren zuerst von einem anonymen E-Mail-Account versandt worden, den die Ermittler nun dem Sportlehrer zuordneten. Zudem soll der 31-Jährige an seinem Arbeitsplatz die Anwendung von künstlicher Intelligenz recherchiert haben. Er wurde am Donnerstag an einem Flughafen verhaftet, als er den Bundesstaat verlassen wollte. KI-Stimmengeneratoren, die vor allem mit der englischen Sprache gut funktionieren, sind mittlerweile kommerziell verfügbar. Auch Laien können diese nutzen, um beliebige Texte in einer fremden Stimme wiederzugeben. Als Vorlage zum Klonen einer Stimme werden mittlerweile nur noch kurze Stimmproben benötigt. Die Ermittler in Maryland schöpften unter anderem deshalb Verdacht, weil die Stimme ungewöhnlich monoton klang. Um diese Auffälligkeit zu überspielen, soll der Sportlehrer Hintergrundgeräusche beigemischt haben. Darien werden nun unter anderem Diebstahl, Störung des Schulbetriebs und Stalking vorgeworfen, die Stimmfälschung selbst ist nach den geltenden Gesetzen nicht strafbar. Auch die Schulverwaltung will Konsequenzen ziehen: Anstelle des Schulleiters soll nun der Beschuldigte entlassen werden."
KI,Spiegel Online,2024-04-23,https://www.spiegel.de/kultur/russland-neuer-putin-film-sorgt-fuer-aufsehen-ki-generierter-diktator-als-kontroverses-portraet-a-a8246b07-c587-463e-b162-a05d45c89bd3,Russland: Neuer Putin-Film sorgt für Aufsehen - KI-generierter Diktator als kontroverses Porträt - DER SPIEGEL,"Eine kritische Filmbiografie über Wladimir Putin will den russischen Machthaber als Verbrecher und kranken Mann in Windeln zeigen. Der Film soll im Herbst in 35 Ländern starten – echt sind die Bilder allerdings nicht. Die Aufnahmen sehen realistisch aus, detailreich – und drastisch. In der ersten Szene des Trailers zu »Putin« sieht man eine Person, die dem russischen Premier zum Verwechseln ähnlich sieht. Der Doppelgänger sitzt nur mit einer Windel bekleidet auf dem Boden vor einem Bett. Der Inhalt der Windel quillt aus den Öffnungen hervor, die Beine sind verschmiert. »Sieht aus, als habe der Präsident endlich Zeit für Sie gefunden«, sagt eine Frauenstimme. Nächste Einstellung: Wladimir Putin, wie er Klavier spielt. Später: Putin, wie er Karate trainiert. Diese Szenen haben in Wirklichkeit nie stattgefunden, wurden nie gefilmt. Die Person, die dort zu sehen ist, ist nicht echt – sondern ein mit künstlicher Intelligenz erstellter Putin-Avatar. Er ist der Protagonist in einem für September angekündigten Biopic, das schlicht »Putin« heißt. Der polnische Filmemacher Patryk Vega, der sich auch Besaleel nennt, zeichnet darin Putins Leben nach. Er beginnt im Kindesalter, als Putin von seinem Stiefvater misshandelt wurde, dann beschreibt er Putin als Gangster, es geht um den Tschetschenienkrieg, um Terroranschläge, den Krieg in der Ukraine . Ein Teil des Materials soll von ukrainischen Filmemachern stammen, die die russische Invasion gefilmt haben. Der 1977 in Warschau geborene Vega drehte in Polen zuvor den Actionthriller »Pitbull«, daraus entstand eine Serie, zudem mehrere Fernseharbeiten und einen Spionagefilm. Ursprünglich habe man mit Deepfake-Technologie arbeiten wollen, sagt Regisseur Vega. Dabei wird meist das Gesicht eines oder einer Prominenten über das von Schauspielern gelegt, die Ergebnisse wirken oft täuschend echt. Allerdings habe das online verfügbare Archivmaterial nicht ausgereicht, um ein hochauflösendes Deepfake-Modell zu trainieren. Und »Putin für 20.000 Fotos ins Studio einzuladen, war keine Option«, so Vega. Er habe stattdessen über zwei Jahre seine eigene KI-Technologie entwickelt, um die Filmversion von Putin zu erstellen. Keines der Putin-Bilder ist also echt. Trotzdem sei Aufklärung seine Mission, so der Regisseur. Er wolle den Menschen eine »Bedienungsanleitung« an die Hand geben: »›Putin‹ ist nicht nur ein Film. Es ist eine Antwort auf eine weltweite Suche nach einem Verständnis der Motive und Handlungen einer der umstrittensten Persönlichkeiten der zeitgenössischen Politik.«"
Künstliche Intelligenz,Spiegel Online,2024-04-20,https://www.spiegel.de/netzwelt/kuenstliche-intelligenz-finnische-roesterei-entwickelt-kaffee-mit-ki-unterstuetzung-a-61adaaff-10ea-4a33-bd13-c10362588156,Künstliche Intelligenz: Finnische Rösterei entwickelt Kaffee mit KI-Unterstützung - DER SPIEGEL,"Niemand konsumiert weltweit so viel Kaffee wie die Finnen. Eine künstliche Intelligenz kann nun noch schneller für Nachschub sorgen. Überrascht waren die Experten über die Zusammenstellung der Bohnen. Finnland hat mit seinen 5,6 Millionen Einwohnern nach Angaben der Internationalen Kaffeeorganisation mit zwölf Kilogramm pro Kopf und Jahr den höchsten Kaffeekonsum der Welt. Wie passend, dass die Kaffeerösterei »Kaffa« in Helsinki die Mischung »AI-conic« mithilfe von künstlicher Intelligenz (KI) zusammengestellt und auf den Markt gebracht hat. Die Mischung aus vier Bohnensorten ist das Ergebnis eines gemeinsamen Projekts von »Kaffa«, Finnlands drittgrößter Kaffeerösterei, und der lokalen KI-Beratungsfirma »Elev«. »Unter Verwendung von Modellen wie ChatGPT und Copilot wurde die KI mit der Aufgabe betraut, eine Kaffeemischung zu entwickeln, die den Geschmack der Kaffeeliebhaber optimal trifft und die Grenzen herkömmlicher Geschmackskombinationen überschreitet«, erklärt »Elev«. Kaffeeröstung in Finnland geschätzt Der Gründer der »Kaffa«-Rösterei, Svante Hampf, erklärte der Nachrichtenagentur Associated Press (AP), dass sie ausprobieren wollten, wie KI und ihre Werkzeuge beim traditonellen Handwerk der Kaffeeröstung, das in Finnland sehr geschätzt wird, hilfreich sein könnten. »Wir haben der KI Beschreibungen aller unserer Kaffeesorten und ihrer Aromen gegeben und sie angewiesen, eine neue, aufregende Mischung zu kreieren«, sagte Hampf, während er »AI-conic« auf dem Helsinki Coffee Festival vorstellte, das jährlich Röstereien und Kaffeeliebhaber zusammenbringt. Die KI hat nicht nur eine Mischung aus Bohnen aus Brasilien, Kolumbien, Äthiopien und Guatemala zusammengestellt, sondern auch das Etikett der Kaffeepackung und eine ausführliche Geschmacksbeschreibung verfasst. In der heißt es, »AI-conic« sei eine »ausgewogene Mischung aus Süße und reifen Früchten«. Mischung üblicherweise aus zwei Bohnen Hampf räumte ein, dass er überrascht war, dass AI sich »seltsamerweise« dafür entschied, die Mischung aus vier verschiedenen Kaffeebohnensorten herzustellen, anstatt wie üblich aus zwei oder drei, was eine geschmackliche Unterscheidung zwischen den Aromen der verschiedenen Herkünfte ermöglicht. Nach der ersten Teströstung und den Blindtests waren sich die Kaffeeexperten von »Kaffa« jedoch angeblich einig, dass die Technik-gestützte Mischung perfekt sei und keine Anpassungen durch Mitarbeiter erforderlich wären. Laut »Elev«-Sprecher Antti Merilehto ist die Kaffeemischung »AI-conic« »ein greifbares Beispiel dafür, wie KI erfahrenen Fachleuten neue Perspektiven eröffnen kann« und gleichzeitig Kaffeefreunden neue Geschmackserlebnisse bietet. Die »Kaffa«-Rösterei hofft, dass der Versuch als Anstoß für einen Dialog zwischen Kaffeefachleuten über die Zukunft in Finnland dient. Das Land habe sowohl eine starke Kaffeekultur als auch eine Leidenschaft für Technologie mit einer blühenden Startup-Szene. »Dieser Versuch war der erste Schritt, um zu sehen, wie KI uns in Zukunft helfen kann«, sagte Hampf und fügte hinzu, dass das Projekt »die handwerklichen Fähigkeiten einer Rösterei« und KI-gestützte Daten reibungslos zusammenbrachte. »Ich denke, dass KI uns auf lange Sicht viel bieten kann. Besonders beeindruckt sind wir von den Kaffeegeschmacksbeschreibungen, die sie erstellt hat.«"
AI,Spiegel Online,2024-04-20,https://www.spiegel.de/netzwelt/kuenstliche-intelligenz-finnische-roesterei-entwickelt-kaffee-mit-ki-unterstuetzung-a-61adaaff-10ea-4a33-bd13-c10362588156,Künstliche Intelligenz: Finnische Rösterei entwickelt Kaffee mit KI-Unterstützung - DER SPIEGEL,"Niemand konsumiert weltweit so viel Kaffee wie die Finnen. Eine künstliche Intelligenz kann nun noch schneller für Nachschub sorgen. Überrascht waren die Experten über die Zusammenstellung der Bohnen. Finnland hat mit seinen 5,6 Millionen Einwohnern nach Angaben der Internationalen Kaffeeorganisation mit zwölf Kilogramm pro Kopf und Jahr den höchsten Kaffeekonsum der Welt. Wie passend, dass die Kaffeerösterei »Kaffa« in Helsinki die Mischung »AI-conic« mithilfe von künstlicher Intelligenz (KI) zusammengestellt und auf den Markt gebracht hat. Die Mischung aus vier Bohnensorten ist das Ergebnis eines gemeinsamen Projekts von »Kaffa«, Finnlands drittgrößter Kaffeerösterei, und der lokalen KI-Beratungsfirma »Elev«. »Unter Verwendung von Modellen wie ChatGPT und Copilot wurde die KI mit der Aufgabe betraut, eine Kaffeemischung zu entwickeln, die den Geschmack der Kaffeeliebhaber optimal trifft und die Grenzen herkömmlicher Geschmackskombinationen überschreitet«, erklärt »Elev«. Kaffeeröstung in Finnland geschätzt Der Gründer der »Kaffa«-Rösterei, Svante Hampf, erklärte der Nachrichtenagentur Associated Press (AP), dass sie ausprobieren wollten, wie KI und ihre Werkzeuge beim traditonellen Handwerk der Kaffeeröstung, das in Finnland sehr geschätzt wird, hilfreich sein könnten. »Wir haben der KI Beschreibungen aller unserer Kaffeesorten und ihrer Aromen gegeben und sie angewiesen, eine neue, aufregende Mischung zu kreieren«, sagte Hampf, während er »AI-conic« auf dem Helsinki Coffee Festival vorstellte, das jährlich Röstereien und Kaffeeliebhaber zusammenbringt. Die KI hat nicht nur eine Mischung aus Bohnen aus Brasilien, Kolumbien, Äthiopien und Guatemala zusammengestellt, sondern auch das Etikett der Kaffeepackung und eine ausführliche Geschmacksbeschreibung verfasst. In der heißt es, »AI-conic« sei eine »ausgewogene Mischung aus Süße und reifen Früchten«. Mischung üblicherweise aus zwei Bohnen Hampf räumte ein, dass er überrascht war, dass AI sich »seltsamerweise« dafür entschied, die Mischung aus vier verschiedenen Kaffeebohnensorten herzustellen, anstatt wie üblich aus zwei oder drei, was eine geschmackliche Unterscheidung zwischen den Aromen der verschiedenen Herkünfte ermöglicht. Nach der ersten Teströstung und den Blindtests waren sich die Kaffeeexperten von »Kaffa« jedoch angeblich einig, dass die Technik-gestützte Mischung perfekt sei und keine Anpassungen durch Mitarbeiter erforderlich wären. Laut »Elev«-Sprecher Antti Merilehto ist die Kaffeemischung »AI-conic« »ein greifbares Beispiel dafür, wie KI erfahrenen Fachleuten neue Perspektiven eröffnen kann« und gleichzeitig Kaffeefreunden neue Geschmackserlebnisse bietet. Die »Kaffa«-Rösterei hofft, dass der Versuch als Anstoß für einen Dialog zwischen Kaffeefachleuten über die Zukunft in Finnland dient. Das Land habe sowohl eine starke Kaffeekultur als auch eine Leidenschaft für Technologie mit einer blühenden Startup-Szene. »Dieser Versuch war der erste Schritt, um zu sehen, wie KI uns in Zukunft helfen kann«, sagte Hampf und fügte hinzu, dass das Projekt »die handwerklichen Fähigkeiten einer Rösterei« und KI-gestützte Daten reibungslos zusammenbrachte. »Ich denke, dass KI uns auf lange Sicht viel bieten kann. Besonders beeindruckt sind wir von den Kaffeegeschmacksbeschreibungen, die sie erstellt hat.«"
AI,Spiegel Online,2024-04-19,https://www.spiegel.de/netzwelt/apps/llama-3-meta-stellt-neue-ki-generation-vor-a-73ec1b23-5518-4c65-8a53-c0162f6f31f2,Llama 3: Meta stellt neue KI-Generation vor - DER SPIEGEL,"Der Facebook-Konzern will Llama 3, die neue Version seiner künstlichen Intelligenz, in weitere Produkte integrieren, darunter in eine vernetzte Brille. Meta bleibt zudem seinem Open-Source-Ansatz treu. Der Facebook-Konzern Meta hat eine neue, leistungsstärkere Version seines KI-Modells vorgestellt. Die Software mit dem Namen Llama 3 soll unter anderem neue Funktionen in Apps wie Instagram und WhatsApp bringen sowie im konzerneigenen KI-Assistenten Meta AI zum Einsatz kommen, wie CEO Mark Zuckerberg am Donnerstag in dem hauseigenen Kurzmitteilungsdienst Threads mitteilte . Seinen KI-Assistenten bringt Meta unter anderem in die zusammen mit Ray Ban entwickelte Brille , die über Kamera, Mikrofon und Lautsprecher verfügt. Man könne damit zum Beispiel beim Skifahren den Assistenten fragen, wann und wie Kleopatra gestorben sei oder wie das Wetter in Berlin werde, sagte Meta-Manager Nick Clegg der Deutschen Presseagentur. Wie nützlich es ist, solche Fragen ausgerechnet beim Skifahren stellen zu können, bleibt an dieser Stelle offen. Auch soll die Software noch während der Text-Eingabe Bilder erzeugen und den Entstehungsprozess als Animation darstellen können. Zunächst werde Llama 3 allerdings nur auf Englisch verfügbar sein. Schwachstellen ausbügeln Anders als etwa der ChatGPT-Entwickler OpenAI macht Meta seine Llama-Technologie (Large Language Model Meta AI) als Open-Source-Software verfügbar, bei der der Quellcode öffentlich einsehbar ist. Es setze sich immer mehr die Ansicht durch, dass Open-Source-Modelle sicherer seien, weil viele sie auf den Prüfstand stellen könnten und »man sich nicht darauf verlassen muss, dass ein Unternehmen die Schwachstellen in seiner Software ausbügelt«, sagte Clegg. Zugleich fehle im Moment eine einheitliche Grundlage zur Bewertung von Risiken bei künstlicher Intelligenz, bemängelte er. Die Veröffentlichung von Llama 3 kommt kurz nach einer für Meta peinlichen Episode. So hatte der Chatbot Meta AI in einer geschlossenen Gruppe für Eltern ungefragt den Eindruck erweckt, selbst ein Kind zu haben . Erst im Laufe der darauffolgenden Diskussion soll der künstliche Assistent laut Berichten geschrieben haben: »Ich bin nur ein großes Sprachmodell, ich habe keine persönlichen Erfahrungen oder Kinder.« In einer anderen Gruppe soll die Software nicht existente Ware zum Kauf angeboten haben."
Artificial Intelligence,Spiegel Online,2024-04-20,https://www.spiegel.de/netzwelt/kuenstliche-intelligenz-finnische-roesterei-entwickelt-kaffee-mit-ki-unterstuetzung-a-61adaaff-10ea-4a33-bd13-c10362588156,Künstliche Intelligenz: Finnische Rösterei entwickelt Kaffee mit KI-Unterstützung - DER SPIEGEL,"Niemand konsumiert weltweit so viel Kaffee wie die Finnen. Eine künstliche Intelligenz kann nun noch schneller für Nachschub sorgen. Überrascht waren die Experten über die Zusammenstellung der Bohnen. Finnland hat mit seinen 5,6 Millionen Einwohnern nach Angaben der Internationalen Kaffeeorganisation mit zwölf Kilogramm pro Kopf und Jahr den höchsten Kaffeekonsum der Welt. Wie passend, dass die Kaffeerösterei »Kaffa« in Helsinki die Mischung »AI-conic« mithilfe von künstlicher Intelligenz (KI) zusammengestellt und auf den Markt gebracht hat. Die Mischung aus vier Bohnensorten ist das Ergebnis eines gemeinsamen Projekts von »Kaffa«, Finnlands drittgrößter Kaffeerösterei, und der lokalen KI-Beratungsfirma »Elev«. »Unter Verwendung von Modellen wie ChatGPT und Copilot wurde die KI mit der Aufgabe betraut, eine Kaffeemischung zu entwickeln, die den Geschmack der Kaffeeliebhaber optimal trifft und die Grenzen herkömmlicher Geschmackskombinationen überschreitet«, erklärt »Elev«. Kaffeeröstung in Finnland geschätzt Der Gründer der »Kaffa«-Rösterei, Svante Hampf, erklärte der Nachrichtenagentur Associated Press (AP), dass sie ausprobieren wollten, wie KI und ihre Werkzeuge beim traditonellen Handwerk der Kaffeeröstung, das in Finnland sehr geschätzt wird, hilfreich sein könnten. »Wir haben der KI Beschreibungen aller unserer Kaffeesorten und ihrer Aromen gegeben und sie angewiesen, eine neue, aufregende Mischung zu kreieren«, sagte Hampf, während er »AI-conic« auf dem Helsinki Coffee Festival vorstellte, das jährlich Röstereien und Kaffeeliebhaber zusammenbringt. Die KI hat nicht nur eine Mischung aus Bohnen aus Brasilien, Kolumbien, Äthiopien und Guatemala zusammengestellt, sondern auch das Etikett der Kaffeepackung und eine ausführliche Geschmacksbeschreibung verfasst. In der heißt es, »AI-conic« sei eine »ausgewogene Mischung aus Süße und reifen Früchten«. Mischung üblicherweise aus zwei Bohnen Hampf räumte ein, dass er überrascht war, dass AI sich »seltsamerweise« dafür entschied, die Mischung aus vier verschiedenen Kaffeebohnensorten herzustellen, anstatt wie üblich aus zwei oder drei, was eine geschmackliche Unterscheidung zwischen den Aromen der verschiedenen Herkünfte ermöglicht. Nach der ersten Teströstung und den Blindtests waren sich die Kaffeeexperten von »Kaffa« jedoch angeblich einig, dass die Technik-gestützte Mischung perfekt sei und keine Anpassungen durch Mitarbeiter erforderlich wären. Laut »Elev«-Sprecher Antti Merilehto ist die Kaffeemischung »AI-conic« »ein greifbares Beispiel dafür, wie KI erfahrenen Fachleuten neue Perspektiven eröffnen kann« und gleichzeitig Kaffeefreunden neue Geschmackserlebnisse bietet. Die »Kaffa«-Rösterei hofft, dass der Versuch als Anstoß für einen Dialog zwischen Kaffeefachleuten über die Zukunft in Finnland dient. Das Land habe sowohl eine starke Kaffeekultur als auch eine Leidenschaft für Technologie mit einer blühenden Startup-Szene. »Dieser Versuch war der erste Schritt, um zu sehen, wie KI uns in Zukunft helfen kann«, sagte Hampf und fügte hinzu, dass das Projekt »die handwerklichen Fähigkeiten einer Rösterei« und KI-gestützte Daten reibungslos zusammenbrachte. »Ich denke, dass KI uns auf lange Sicht viel bieten kann. Besonders beeindruckt sind wir von den Kaffeegeschmacksbeschreibungen, die sie erstellt hat.«"
KI,Spiegel Online,2024-04-22,https://www.spiegel.de/wirtschaft/olaf-scholz-auf-hannover-messe-roboter-widersetzt-sich-den-befehlen-des-kanzlers-a-c8121a1b-bb6c-420d-bf07-d390c7dadfc5,Olaf Scholz auf Hannover Messe: Roboter widersetzt sich den Befehlen des Kanzlers - DER SPIEGEL,"Der Kanzler sollte auf der Hannover Messe zeigen, wie gut Sprachsteuerung funktioniert. Aber als Olaf Scholz einen Roboter zu Höchstleistungen animieren wollte, machte der erst mal nicht mit. Der Eröffnungsrundgang auf der Hannover Messe ist für den Kanzler der perfekte Termin, um zu zeigen, wie innovativ die deutsche Wirtschaft ist – gerade bei Zukunftsthemen wie künstlicher Intelligenz. Der Einsatz von KI ist eines der Hauptthemen auf der Industriemesse. Also sollte Olaf Scholz als Testimonial herhalten. Doch das Zusammenspiel zwischen Kanzler und KI verlief nicht wie geplant. Am Stand von Siemens sollte der SPD-Politiker am Montag einen Robotergreifarm per Sprachsteuerung beschleunigen. »Können wir das Tempo schneller machen? Schneller. Noch schneller«, forderte Scholz den Roboter auf. Doch es tat sich zunächst – nichts. Erst nach einigen Wiederholungen wurde der Befehl umgesetzt. Siemens-Vorstand Cedrik Neike hatte umgehend einen passenden Vergleich parat: »Es ist wie in der Politik. Es dauert etwas länger, bis es klappt, aber wenn es klappt, klappt es richtig.« Scholz will mehr Geld für Forschung aktivieren Das Messe-Fazit des Kanzlers fiel trotz des widerspenstigen Roboters positiv aus. »Was man hier spürt, ist Innovation, Lust, neue Dinge zu entwickeln. Das gilt insbesondere für die ganz große Aufgabe, wie kriegen wir das hin, mit den Herausforderungen der Digitalisierung umzugehen und die Chancen zu nutzen«, sagte Scholz. KI sei heute selbst in kleinsten Produkten schon zu finden. Das helfe auch, weniger Ressourcen zu verbrauchen. Der Messebesuch sei für ihn »ein Tag des Aufbruchs, ein Tag, der Zuversicht stiftet, weil wir auf modernste Technologien setzen, um die Herausforderung für unser Leben und die Herausforderung der Zukunft zu meistern«, schwärmte Scholz. Er wolle deutlich mehr Geld für Forschung und Innovation in Deutschland aktivieren, kündigte der Kanzler an. Er nannte drei Hebel: Anlageregeln etwa für das Geld der Rentenversicherung lockern, reiche Leute zu mehr Investitionen ermuntern und die steuerliche Forschungsförderung weiter ausbauen. »Wenn im Prinzip die einzige Kapitalanlage, die wir gestatten, wenn jemand Rentengelder sammelt, deutsche Staatsanleihen sind«, dann sei »das mit der Wachstumsfinanzierung für den deutschen Kapitalismus nicht so doll«, sagte Scholz auf einem Forschungsgipfel in Hannover. Deshalb müsse Geld »etwas umfassender und etwas riskanter« eingesetzt werden dürfen als bisher. Scholz kritisierte, dass es in der EU immer noch nicht gelungen sei, die Kapitalmarktunion zu vollenden und Unternehmen, auch Start-ups, deshalb schlechtere Finanzierungsmöglichkeiten hätten als in den USA. Er wolle dies zusammen mit Frankreichs Präsident Emmanuel Macron ändern, sagte er in Anspielung auf den EU-Gipfel vergangener Woche. Der Kanzler kritisierte zudem, dass »die vielen reichen Leute in Deutschland ihr Geld nicht in die Wachstumsfinanzierung stecken«. Das müsse sich ändern."
