Search Query,Quelle,Datum,Link,Titel,Text
Künstliche Intelligenz,Sueddeutsche,2024-04-30,https://www.sueddeutsche.de/wissen/kuenstliche-intelligenz-computer-gegen-mensch-wer-bei-lawinenvorhersage-besser-ist-dpa.urn-newsml-dpa-com-20090101-240430-99-862262,Künstliche Intelligenz - Computer gegen Mensch: Wer bei Lawinenvorhersage besser ist - Wissen - SZ.de,"Davos (dpa) - Die Lawinengefahr lässt sich mit künstlicher Intelligenz ähnlich gut einschätzen wie von Menschen, Fehler inbegriffen. Das berichtet das Schweizer Institut für Schnee- und Lawinenforschung (SLF) in Davos nach einem dreijährigen Forschungsprojekt. Die gute Nachricht: maschinell trainierte Algorithmen und Menschen hätten unterschiedliche Stärken und Schwächen und könnten sich deshalb gut ergänzen. Das SLF arbeitet seit drei Jahren mit solchen Modellen. Die Vorhersagen des Modells seien oft gut. „Manchmal sind sie es ganz klar nicht, aber auch wir liegen mal falsch“, sagte Lawinenwarner Frank Techel. Algorithmen würden seit Langem eingesetzt, neu sei, dass sie die Ergebnisse vieler Modelle analysieren, bewerten und eine eigene Einschätzung liefern. Menschen hätten den Vorteil, dass sie anders als Algorithmen bei ihrer Bewertung der Lage neben den Daten und Modellen auch aktuelle Beobachtungen und Rückmeldungen von Menschen im Gelände berücksichtigen könnten. Andererseits könnten Menschen aus Zeitgründen nur die relevantesten Daten in ihre Analyse einbeziehen, während Computer sämtliche Informationen berücksichtigen. „Das Gute ist: die Modelle machen andere Fehler als wir“, sagte Techel. An Lawinenvorhersagen sind traditionell drei Expertinnen und Experten beteiligt, wie das SLF berichtet. Sie machen zunächst je eine eigene Analyse. Wenn die Vorhersagen voneinander abweichen, wird Konsens gesucht. Mit den Ergebnissen des Projekts sitze jetzt praktisch ein vierter „Experte“ am Tisch: der Computer mit seiner Auswertung. © dpa-infocom, dpa:240430-99-862262/3"
Künstliche Intelligenz,Sueddeutsche,2024-04-30,https://www.sueddeutsche.de/wirtschaft/kuenstliche-intelligenz-google-schaltet-ki-erweiterungen-fuer-deutschland-frei-dpa.urn-newsml-dpa-com-20090101-240430-99-868659,Künstliche Intelligenz - Google schaltet KI-Erweiterungen für Deutschland frei - Wirtschaft - SZ.de,"Hamburg (dpa) - Das Google -KI-System Gemini kann jetzt auch von Anwenderinnen und Anwendern in Deutschland mit verschiedenen Google-Apps vernetzt werden. Das kündigte der Internet-Konzern am Dienstag in einem Blogeintrag an. Mit der neuen Funktion kann man Gemini den Zugriff auf die Dienste Google Maps, Google Flüge, Google Hotels und YouTube, aber auch Gmail, Google Drive und Google Docs ermöglichen. In dem Blogeintrag schreibt Google, dass das System relevante Informationen aus den relevanten Diensten direkt in den Chat mit Gemini liefere, wenn man der Verknüpfung der jeweiligen App zustimme. Die Verknüpfung der Apps und Dienste mit der Gemini-KI könne jederzeit wieder rückgängig gemacht werden. Bei einer gemeinsamen Reiseplanung mit Freunden könne das Arbeiten mit den Gemini-Erweiterungen beispielsweise so funktionieren: Wenn man bereits vorab per E-Mail ein paar Gedanken und Termine ausgetauscht habe, könne man Gemini im ersten Schritt bitten, in den Gmail-Verläufen mit den Freunden nachzusehen, welche Daten für alle passen. Basierend darauf könne man nun Flug- und Hotelinformationen anzeigen und YouTube-Videos mit Tipps für Unternehmungen heraussuchen lassen. Die Highlights daraus könne Gemini zusätzlich direkt in einer Mail an die Freunde zusammenfassen. Der US-Konzern tritt mit den Gemini-Erweiterungen vor allem gegen die KI-Funktion „Co-Pilot“ von Microsoft an, die ebenfalls eine Verknüpfung mit Office-Dokumenten und anderen persönlichen Datenbeständen ermöglicht. Google hatte seine KI-Erweiterungen zuerst vor gut sieben Monaten in den USA eingeführt. © dpa-infocom, dpa:240430-99-868659/2"
Künstliche Intelligenz,Sueddeutsche,2024-04-29,https://www.sueddeutsche.de/politik/kuenstliche-intelligenz-datenschuetzer-beschwerde-gegen-openai-und-chatgpt-dpa.urn-newsml-dpa-com-20090101-240429-99-846833,Künstliche Intelligenz - Datenschützer: Beschwerde gegen OpenAI und ChatGPT - Politik - SZ.de,"Wien (dpa) - Die europäische Datenschutz -Organisation Noyb hat zusammen mit einem betroffenen europäischen Bürger eine Datenschutz-Beschwerde gegen den ChatGPT -Anbieter OpenAI wegen des Verstoßes gegen die Europäische Datenschutz-Grundverordnung (DSGVO) eingereicht. Die von Datenschutz-Aktivist Max Schrems mitbegründete Organisation warf OpenAI unter anderem vor, im Fall einer namentlich nicht genannten „Person des öffentlichen Lebens“ falsche Angabe zu persönlichen Daten zu machen, ohne die gesetzlich vorgeschriebene Möglichkeit einer Berichtigung oder Löschung einzuräumen. Schrems hatte zuvor bereits den Facebook-Konzern Meta in zwei Klagen das Fürchten gelehrt und dabei zweimal vor dem Europäischen Gerichtshof wichtige Datenabkommen zwischen den USA und Europa gekippt. In der Auseinandersetzung mit ChatGPT-Entwickler OpenAI wirft Noyb dem US-Unternehmen vor, den Menschen in Europa ihre Rechte nach der DSGVO zu verweigern. Im konkreten Fall, in dem es auch um ein falsches Geburtsdatum ging, habe OpenAI damit argumentiert, dass eine Korrektur der Daten nicht möglich sei. Man könne zwar Daten bei bestimmten Anfragen blockieren, etwa den Namen des Prominenten. Man könne ChatGPT aber nicht daran zu hindern, alle Informationen über den Beschwerdeführer zu filtern. Noyb warf OpenAI weiterhin vor, nicht angemessen auf das Auskunftsersuchen des Beschwerdeführers reagiert zu haben. Obwohl die DSGVO den Nutzerinnen und Nutzern das Recht einräume, eine Kopie aller persönlichen Daten zu verlangen, habe es OpenAI versäumt die verarbeiteten Daten, ihre Quellen oder Empfänger offenzulegen. Maartje de Graaf, Datenschutzjuristin bei Noyb, sagte, die Verpflichtung, einem Auskunftsersuchen nachzukommen, gelte für alle Unternehmen. „Es ist selbstverständlich möglich, die verwendeten Trainingsdaten zu protokollieren, um zumindest eine Vorstellung von den Informationsquellen zu erhalten. Es scheint, dass mit jeder 'Innovation' eine andere Gruppe von Unternehmen meint, dass ihre Produkte nicht mit dem Gesetz übereinstimmen müssen.“ Noyb und der Betroffene forderten nun die österreichische Datenschutzbehörde (DSB) zu einer Untersuchung der Datenverarbeitungspraktiken von OpenAI auf. Von besonderem Interesse sei dabei die Frage, welche Maßnahmen das Start-up zur Sicherstellung der Richtigkeit persönlicher Daten getroffen habe. Gegen OpenAI müsse ein Bußgeld verhängt werden, um die zukünftige Einhaltung der Vorschriften sicherzustellen. © dpa-infocom, dpa:240429-99-846833/3"
Künstliche Intelligenz,Sueddeutsche,2024-04-29,https://www.sueddeutsche.de/panorama/kuenstliche-intelligenz-justiz-will-mit-ki-buerger-besser-informieren-dpa.urn-newsml-dpa-com-20090101-240429-99-851654,Künstliche Intelligenz - Justiz will mit KI Bürger besser informieren - Panorama - SZ.de,"Hanau (dpa/lhe) - Mit Hilfe Künstlicher Intelligenz (KI) will die Justiz die Öffentlichkeit in Zukunft schneller und besser über den Inhalt von interessanten Gerichtsurteilen informieren. Der hessische Justizminister Christian Heinz (CDU) informierte sich am Montag am Landgericht Hanau über ein dort laufendes Pilotprojekt. Bisher ist es sehr aufwendig, Urteilstexte im Original zu veröffentlichen, da sie noch per Hand so anonymisiert werden müssen, sodass keine Rückschlüsse auf die tatsächlichen Prozessbeteiligten möglich sind. Das Pseudonymisierungs-Werkzeug „Jano“ („Justiz-Anonymisierung“), an dem auch das Landgericht Mannheim beteiligt ist, will diese Arbeit automatisieren. Justizminister Heinz geht davon aus, dass in Deutschland weniger als ein Prozent aller Urteile veröffentlicht werden. In der Regel handelt es sich dabei um ausgewählte Texte von Bundes- und Oberlandesgerichten. Doch Bürger könnten auch an Entscheidungen von Amts- und Landgerichten interessiert sein, sagte der Hanauer Gerichtspräsident Frank Richter. „Sie können dann einfach durch eine Suche schauen, ob sie für ihren Lebenssachverhalt etwas finden, das passt“, sagte er. Es handele sich um einen schnelleren und barrierearmen Zugang. Das Angebot soll gratis sein. Vor einer Veröffentlichung soll der von KI bearbeitete Text noch einmal von einem Menschen gegengelesen werden. Als mögliche Kandidaten für Veröffentlichungen nannte Richter verbrauchernahe Urteile etwa zu den Themen Unterhalt oder Mietwagenanspruch nach einem Verkehrsunfall. © dpa-infocom, dpa:240429-99-851654/2"
AI,Sueddeutsche,2024-04-30,https://www.sueddeutsche.de/wissen/sprachtraining-mit-ki-unterstuetzung-fremde-sprachen-fluessig-sprechen-dpa.urn-newsml-dpa-com-20090101-240430-99-857556,Sprachtraining - Mit KI-Unterstützung: Fremde Sprachen flüssig sprechen - Wissen - SZ.de,"Hannover (dpa/tmn) - Gespräche auf Englisch, Französisch oder Spanisch führen? Beim Sprachenlernen ist das freie Sprechen oft besonders herausfordernd und die Angst vor Blamage kann bremsen. Hier kann ein KI-Sprechtrainer helfen, Hemmungen zu überwinden. Zumindest, wenn man nicht bei null mit dem Lernen anfängt. Denn trotz einiger Mängel bringen diese Tools denjenigen etwas, die schon Vorkenntnisse in der Fremdsprache haben. Das ist das Fazit der Fachzeitschrift „c't“, die mit „TalkPal“, „Teacher AI“ und „Univerbal“ drei solcher Dienste getestet hat (Ausgabe 9/24). Gründe für die Auswahl der Anbieter: Alle bieten mehrere beliebte Sprachen an, werden von vielen Betriebssystemen unterstützt und lassen sich im Browser mit Mikro und Lautsprecher nutzen. Die Kosten liegen zwischen 10 und 25 Euro pro Monat, im Jahresabo sinken die Preise deutlich. Nutzt man nur die Basisfunktionen, ist „Talk Pal“ kostenlos. Das sind laut „c't“ die Vor- und Nachteile der getesteten Sprechtrainer im Detail: Dieser Dienst hat mit mehr als 60 Sprachen eine enorme Auswahl. Allerdings muss man auf jeden Fall schon einmal Englisch können, denn die Oberfläche und die Korrekturen gibt es nur in dieser Sprache. Ein Plus ist dem Bericht zufolge der Pool von vielen, teils ausgefallenen Rollenspielen und auch Debatten, bei denen man die Pro- oder Contra-Seite wählen kann - und so im Dialog an der Sprache feilen kann. Da aus Fehlern gelernt werden soll, sind bei Sprechtrainern die Korrekturen wichtig: Hier schwächelt der Dienst laut „c't“. Er verschriftlicht das Gesprochene der Nutzer und benennt daneben die Fehler - im Test widersprach er sich aber zum Teil selbst oder bremste das Gespräch, indem er manches erst falsch niederschrieb und dann korrigierte. Sowohl die männliche als auch weibliche Stimme klingen bei diesem Tool natürlicher als bei den Vergleichstrainern. „Teacher AI“ gibt zudem mündliche Hinweise und Korrekturen in der Ausgangssprache. Außerdem listet das Tool die Wörter auf, die Lernende und die KI-Trainer im Dialog bisher verwendet haben. Das ist praktisch, denn: Mithilfe der integrierten Übersetzungsfunktion kann man so Vokabeln üben. Die Zeitschrift bemängelt, dass dieses Tool keine vorgegebenen Rollenspiele bietet, sondern nur einen freien Sprach-Chat, der aber auf Zuruf reagiert. In der Testphase gab es laut „c't“ Serverprobleme. Auf seiner Website weist der Anbieter darauf hin, dass gerade an der Plattform gearbeitet werde, um dem zunehmenden Nutzungsvolumen gerecht zu werden. Es könne gelegentlich zu Fehlern bei der Anwendung kommen. Dieser Dienst punktet mit einer klaren Struktur: Am Anfang des Trainings steht ein Einstufungstest, aus denen sich individuelle Lehrpläne ergeben. Die Rollenspiele, die darauf folgen, variieren die Themen und steigern sich im Schwierigkeitsgrad. Andererseits gibt es keinen ganz freien Chat: Man kann zwar Themen selbst vorgeben, auf diese wird das Gespräch dann aber immer wieder zurückgeführt. Pluspunkt: „Univerbal“ passt seine Oberfläche der Ausgangssprache an - also etwa Deutsch. Mit 22 Lern-Sprachen liegt der Dienst aber hinter den anderen beiden. Die Tester kritisierten darüber hinaus den synthetischen Klang mancher der KI-Stimmen. © dpa-infocom, dpa:240430-99-857556/2"
AI,Sueddeutsche,2024-04-29,https://www.sueddeutsche.de/wirtschaft/openai-chatgpt-noyb-chatbot-beschwerde-ki-1.6737080,"Open AI: Chat-GPT erfindet Geburtsdatum, Noyb reicht Beschwerde ein - Wirtschaft - SZ.de","Wenn Menschen eine Frage nicht beantworten können, dann sagen sie ""Keine Ahnung"". Manche versuchen vielleicht, sich etwas zusammenzureimen. Dann kann man sie zumindest korrigieren. Bei Chat-GPT funktioniert das nicht. Das Sprachmodell neigt dazu, vermeintliche Fakten zu erfinden . Angeblich kann man die Falschbehauptungen auch nicht richtigstellen. Das behauptet jedenfalls Open AI, das Chat-GPT entwickelt. Und diese Renitenz könnte dem Unternehmen eine Menge Ärger einbringen. Gemeinsam mit einem Mann aus Österreich, der anonym bleiben möchte, hat die Datenschutzorganisation Noyb Beschwerde bei der österreichischen Datenschutzbehörde eingelegt . Sie werfen Open AI vor, gegen die Europäische Datenschutzgrundverordnung (DSGVO) zu verstoßen. Konkret geht es um sechs Ziffern: das Geburtsdatum des Beschwerdeführers, zu dem es im Netz keine Informationen gebe. Dennoch versuche Chat-GPT, entsprechende Fragen zu beantworten, und spucke dabei willkürlich falsche Daten aus. Open AI habe erklärt, man könne nicht verhindern, dass Chat-GPT falsche Geburtsdaten anzeige. In den Nutzungsbedingungen heißt es dazu: ""Angesichts der technischen Komplexität unserer Modelle sind wir möglicherweise nicht in der Lage, die Ungenauigkeit in jedem Fall zu korrigieren."" Es sei zwar möglich, personenbezogene Daten zu sperren, das betreffe jedoch alle Anfragen nach der jeweiligen Person. Da der Beschwerdeführer eine Person des öffentlichen Lebens sei, verstoße die generelle Sperrung gegen die Meinungsfreiheit von Open AI und die Informationsfreiheit der Öffentlichkeit. Noyb fasst es in seiner Beschwerdeschrift so zusammen: ""Chat-GPT kann Informationen nicht korrigieren, kann Informationen nicht selektiv sperren und jede betroffene Person muss einfach mit dieser Situation leben."" Open AI scheine der Ansicht zu sein, dass es falsche Informationen verbreiten könne und dafür, anders als etwa Medienunternehmen, nicht haftbar sei. ""Wenn ein System keine genauen und transparenten Ergebnisse liefern kann, darf es nicht zur Erstellung von Personendaten verwendet werden"", sagt Maartje de Graaf, Datenschutzjuristin bei Noyb. Open AI und andere Unternehmen seien derzeit offenbar nicht in der Lage, Chatbots mit dem EU-Recht in Einklang zu bringen. ""Die Technologie muss den rechtlichen Anforderungen folgen, nicht umgekehrt."" Für Verstöße sieht die DSGVO Geldbußen von bis zu vier Prozent des Jahresumsatzes vor. Was für Open AI bedrohlicher sein dürfte: Datenschutzbehörden können Unternehmen anweisen, ihre Datenverarbeitung offenzulegen und anzupassen. Die Beschwerde könnte also dazu führen, dass Open AI ein wenig Licht in seine Blackbox lassen muss. Bislang verrät das Unternehmen nicht, mit welchen Daten seine Modelle trainiert wurden und wie die Antworten zustande kommen. Sprachmodelle mit Hang zu Halluzinationen können deutlich größeren Unfug fabrizieren als falsche Geburtsdaten. Vergangenes Jahr verklagte ein australischer Bürgermeister Open AI, weil Chat-GPT fälschlicherweise behauptet hatte, er sei wegen Bestechung zu einer Haftstrafe verurteilt worden. Kürzlich zog er die Klage zurück , das aktuelle Modell GPT-4 habe aufgehört, ihn zu verleumden. Vielleicht gelingt es Open AI, GPT-5 eine neue Antwort beizubringen, statt einen Geburtstag zu erfinden: ""Keine Ahnung."""
Artificial Intelligence,Sueddeutsche,2024-04-30,https://www.sueddeutsche.de/panorama/maibaeume-zeichen-der-liebe-was-dieses-jahr-besonders-ist-1.6771798,- Maibäume - Zeichen der Liebe: Was dieses Jahr besonders ist - Panorama - SZ.de,
Artificial Intelligence,Sueddeutsche,2024-04-30,https://www.sueddeutsche.de/panorama/bus-stuerzt-in-anden-schlucht-dutzende-tote-1.6766340,- Bus stürzt in Anden-Schlucht - Dutzende Tote - Panorama - SZ.de,
Artificial Intelligence,Sueddeutsche,2024-04-29,https://www.sueddeutsche.de/sport/klassiker-in-der-champions-league-bayern-gegen-real-1.6745011,- Klassiker in der Champions League: Bayern gegen Real - Sport - SZ.de,
Artificial Intelligence,Sueddeutsche,2024-04-29,https://www.sueddeutsche.de/panorama/bundesanwaltschaft-reichsbuerger-bereiteten-hochverraeterisches-unternehmen-vor-1.6739667,"- Bundesanwaltschaft: Reichsbürger bereiteten ""hochverräterisches Unternehmen"" vor - Panorama - SZ.de",
KI,Sueddeutsche,2024-04-30,https://www.sueddeutsche.de/wissen/sprachtraining-mit-ki-unterstuetzung-fremde-sprachen-fluessig-sprechen-dpa.urn-newsml-dpa-com-20090101-240430-99-857556,Sprachtraining - Mit KI-Unterstützung: Fremde Sprachen flüssig sprechen - Wissen - SZ.de,"Hannover (dpa/tmn) - Gespräche auf Englisch, Französisch oder Spanisch führen? Beim Sprachenlernen ist das freie Sprechen oft besonders herausfordernd und die Angst vor Blamage kann bremsen. Hier kann ein KI-Sprechtrainer helfen, Hemmungen zu überwinden. Zumindest, wenn man nicht bei null mit dem Lernen anfängt. Denn trotz einiger Mängel bringen diese Tools denjenigen etwas, die schon Vorkenntnisse in der Fremdsprache haben. Das ist das Fazit der Fachzeitschrift „c't“, die mit „TalkPal“, „Teacher AI“ und „Univerbal“ drei solcher Dienste getestet hat (Ausgabe 9/24). Gründe für die Auswahl der Anbieter: Alle bieten mehrere beliebte Sprachen an, werden von vielen Betriebssystemen unterstützt und lassen sich im Browser mit Mikro und Lautsprecher nutzen. Die Kosten liegen zwischen 10 und 25 Euro pro Monat, im Jahresabo sinken die Preise deutlich. Nutzt man nur die Basisfunktionen, ist „Talk Pal“ kostenlos. Das sind laut „c't“ die Vor- und Nachteile der getesteten Sprechtrainer im Detail: Dieser Dienst hat mit mehr als 60 Sprachen eine enorme Auswahl. Allerdings muss man auf jeden Fall schon einmal Englisch können, denn die Oberfläche und die Korrekturen gibt es nur in dieser Sprache. Ein Plus ist dem Bericht zufolge der Pool von vielen, teils ausgefallenen Rollenspielen und auch Debatten, bei denen man die Pro- oder Contra-Seite wählen kann - und so im Dialog an der Sprache feilen kann. Da aus Fehlern gelernt werden soll, sind bei Sprechtrainern die Korrekturen wichtig: Hier schwächelt der Dienst laut „c't“. Er verschriftlicht das Gesprochene der Nutzer und benennt daneben die Fehler - im Test widersprach er sich aber zum Teil selbst oder bremste das Gespräch, indem er manches erst falsch niederschrieb und dann korrigierte. Sowohl die männliche als auch weibliche Stimme klingen bei diesem Tool natürlicher als bei den Vergleichstrainern. „Teacher AI“ gibt zudem mündliche Hinweise und Korrekturen in der Ausgangssprache. Außerdem listet das Tool die Wörter auf, die Lernende und die KI-Trainer im Dialog bisher verwendet haben. Das ist praktisch, denn: Mithilfe der integrierten Übersetzungsfunktion kann man so Vokabeln üben. Die Zeitschrift bemängelt, dass dieses Tool keine vorgegebenen Rollenspiele bietet, sondern nur einen freien Sprach-Chat, der aber auf Zuruf reagiert. In der Testphase gab es laut „c't“ Serverprobleme. Auf seiner Website weist der Anbieter darauf hin, dass gerade an der Plattform gearbeitet werde, um dem zunehmenden Nutzungsvolumen gerecht zu werden. Es könne gelegentlich zu Fehlern bei der Anwendung kommen. Dieser Dienst punktet mit einer klaren Struktur: Am Anfang des Trainings steht ein Einstufungstest, aus denen sich individuelle Lehrpläne ergeben. Die Rollenspiele, die darauf folgen, variieren die Themen und steigern sich im Schwierigkeitsgrad. Andererseits gibt es keinen ganz freien Chat: Man kann zwar Themen selbst vorgeben, auf diese wird das Gespräch dann aber immer wieder zurückgeführt. Pluspunkt: „Univerbal“ passt seine Oberfläche der Ausgangssprache an - also etwa Deutsch. Mit 22 Lern-Sprachen liegt der Dienst aber hinter den anderen beiden. Die Tester kritisierten darüber hinaus den synthetischen Klang mancher der KI-Stimmen. © dpa-infocom, dpa:240430-99-857556/2"
KI,Sueddeutsche,2024-04-30,https://www.sueddeutsche.de/wirtschaft/kuenstliche-intelligenz-google-schaltet-ki-erweiterungen-fuer-deutschland-frei-dpa.urn-newsml-dpa-com-20090101-240430-99-868659,Künstliche Intelligenz - Google schaltet KI-Erweiterungen für Deutschland frei - Wirtschaft - SZ.de,"Hamburg (dpa) - Das Google -KI-System Gemini kann jetzt auch von Anwenderinnen und Anwendern in Deutschland mit verschiedenen Google-Apps vernetzt werden. Das kündigte der Internet-Konzern am Dienstag in einem Blogeintrag an. Mit der neuen Funktion kann man Gemini den Zugriff auf die Dienste Google Maps, Google Flüge, Google Hotels und YouTube, aber auch Gmail, Google Drive und Google Docs ermöglichen. In dem Blogeintrag schreibt Google, dass das System relevante Informationen aus den relevanten Diensten direkt in den Chat mit Gemini liefere, wenn man der Verknüpfung der jeweiligen App zustimme. Die Verknüpfung der Apps und Dienste mit der Gemini-KI könne jederzeit wieder rückgängig gemacht werden. Bei einer gemeinsamen Reiseplanung mit Freunden könne das Arbeiten mit den Gemini-Erweiterungen beispielsweise so funktionieren: Wenn man bereits vorab per E-Mail ein paar Gedanken und Termine ausgetauscht habe, könne man Gemini im ersten Schritt bitten, in den Gmail-Verläufen mit den Freunden nachzusehen, welche Daten für alle passen. Basierend darauf könne man nun Flug- und Hotelinformationen anzeigen und YouTube-Videos mit Tipps für Unternehmungen heraussuchen lassen. Die Highlights daraus könne Gemini zusätzlich direkt in einer Mail an die Freunde zusammenfassen. Der US-Konzern tritt mit den Gemini-Erweiterungen vor allem gegen die KI-Funktion „Co-Pilot“ von Microsoft an, die ebenfalls eine Verknüpfung mit Office-Dokumenten und anderen persönlichen Datenbeständen ermöglicht. Google hatte seine KI-Erweiterungen zuerst vor gut sieben Monaten in den USA eingeführt. © dpa-infocom, dpa:240430-99-868659/2"
KI,Sueddeutsche,2024-04-28,https://www.sueddeutsche.de/kultur/elfriede-jelinek-asche-muenchner-kammerspiele-falk-richter-kritik-1.6705175,Elfriede Jelineks „Asche“ an den Münchner Kammerspielen: Totenklage mit KI - Kultur - SZ.de,
AI,Sueddeutsche,2024-04-23,https://www.sueddeutsche.de/wirtschaft/startup-ki-finanzierung-hype-1.6565515,Start-up: Gründer springen auf KI-Hype auf - globaler Vergleich ernüchtert - Wirtschaft - SZ.de,
Artificial Intelligence,Sueddeutsche,2024-04-25,https://www.sueddeutsche.de/panorama/gesetz-gebilligt-tiktok-aus-den-usa-bald-verbannt-1.6596058,- Gesetz gebilligt: Tiktok aus den USA bald verbannt? - Panorama - SZ.de,
Artificial Intelligence,Sueddeutsche,2024-04-24,https://www.sueddeutsche.de/panorama/glaeubiger-fordern-zwei-milliarden-euro-von-insolventem-rene-benko-1.6567230,- Gläubiger fordern zwei Milliarden Euro von insolventem René Benko - Panorama - SZ.de,
Artificial Intelligence,Sueddeutsche,2024-04-23,https://www.sueddeutsche.de/panorama/mitarbeiter-von-afd-politiker-als-mutmasslicher-china-spion-festgenommen-1.6565433,- Mitarbeiter von AfD-Politiker als mutmaßlicher China-Spion festgenommen - Panorama - SZ.de,
Artificial Intelligence,Sueddeutsche,2024-04-23,https://www.sueddeutsche.de/wirtschaft/startup-ki-finanzierung-hype-1.6565515,Start-up: Gründer springen auf KI-Hype auf - globaler Vergleich ernüchtert - Wirtschaft - SZ.de,
