Search Query,Quelle,Datum,Link,Titel,Text
Künstliche Intelligenz,Tagesspiegel,2024-04-29,https://www.tagesspiegel.de/berlin/berliner-wirtschaft/kunstliche-intelligenz-fur-die-klimaresilienz-wie-eine-franzosin-berlins-wasserversorgung-sichert-11535047.html,Künstliche Intelligenz für die Klimaresilienz: Wie eine Französin Berlins Wasserversorgung sichert,"Die Stadt Berlin wächst, aber der Verbrauch an Trinkwasser stagniert – ein Indiz für die zunehmende Wertschätzung der lebenswichtigen Ressource. Nach mehreren Dürrejahren ist das Thema Wasserknappheit in den Köpfen der Verbraucher angekommen. Das war nicht immer so, erinnert sich Pascale Rouault, die neue Chefin des Kompetenzzentrums Wasser Berlin."
Künstliche Intelligenz,Tagesspiegel,2024-04-27,https://www.tagesspiegel.de/berlin/um-clan-kriminalitat-zu-bekampfen-berliner-cdu-will-strafmundigkeit-von-14-auf-12-jahre-senken-11584403.html,Um Clan-Kriminalität zu bekämpfen: Berliner CDU will Strafmündigkeit von 14 auf 12 Jahre senken,Die Berliner CDU will wegen des Personalmangels in der Verwaltung und wegen Spardrucks verstärkt Künstliche Intelligenz (KI) einsetzen. Daneben wollen die Christdemokraten im Kampf gegen die Organisierte Kriminalität und Clankriminelle das Alter für Strafmündigkeit herabsetzen und Kinder schneller aus kriminellen Familien herausholen. Diese Schwerpunkte hat der Landesvorstand der CDU bei einer gemeinsamen Klausur mit den CDU-Senatsmitgliedern am Sonnabend in Dresden beschlossen.
AI,Tagesspiegel,2024-04-30,https://www.tagesspiegel.de/gesellschaft/flugsteuern-e-roller-und-schweizer-bussgelder-der-uberblick-was-sich-ab-mai-in-deutschland-alles-andert-11600189.html,"Flugsteuern, E-Roller und Schweizer Bußgelder : Der Überblick, was sich ab Mai in Deutschland alles ändert","Facebook will KI-Inhalte kennzeichnen und nicht mehr löschen, Verkehrssünder können auch in der Schweiz belangt werden und Flugreisen werden mitunter teurer. Auch im Mai ändert sich wieder einiges. Ein Überblick:
Meta will KI-Inhalte kennzeichnen
Der Facebook-Mutterkonzern Meta will Inhalte, die durch Künstliche Intelligenz (KI) generiert wurden, künftig nicht mehr löschen, sondern entsprechend kennzeichnen. Wie das Unternehmen in seinem Blog mitteilte, soll die neue Regelung ab Mai gelten. Manipulierte Fotos, Videos und Audiodateien, die nicht anderweitig gegen Regeln zur Veröffentlichung verstoßen, sollen dann mit einem Label „Made with AI“ versehen werden.
Luftverkehrsteuer wird erhöht
Fliegen ab Deutschland wird ab Mai voraussichtlich teurer. Wie im zweiten Haushaltsfinanzierungsgesetz festgelegt, erhöhen sich die Steuerabgaben, die die Airlines pro Fluggast leisten müssen, auf 15,53 Euro bis 70,83 Euro je nach Flugstrecke und Zielort. Diese Erhöhungen könnten die Fluggesellschaften an ihre Passagiere weitergeben.
Mindestlohn in der Altenpflege steigt
Der Mindestlohn in der Altenpflege wird im Mai weiter angehoben. Für Pflegehilfskräfte liegt er nach Angaben der Bundesregierung ab 1. Mai bei 15,50 Euro, für qualifizierte Pflegehilfskräfte bei 16,50 Euro und für Fachkräfte steigt er auf 19,50 Euro.
Bußgelder aus der Schweiz
Verstöße, die Verkehrssünder in der Schweiz begangen haben, können ab dem 1. Mai auch in Deutschland vollstreckt werden. Davon betroffen sind laut ADAC Strafen ab 70 Euro oder 80 Schweizer Franken. Grundlage ist der neue deutsch-schweizerische Polizeivertrag, der die polizeiliche Zusammenarbeit beider Länder regelt. Bislang konnten nur Bußgelder aus EU-Staaten in Deutschland vollstreckt werden.
Fahrverbote aus der Schweiz haben aber keine Auswirkungen in Deutschland und gelten nur für die Schweiz, allerdings auch für deutsche Autofahrerinnen und Autofahrer. Punkte in Flensburg gibt es für Verkehrsverstöße in der Schweiz nicht. Auch Schweizer, die in Deutschland aufgefallen sind, können in Zukunft in ihrem Heimatland belangt werden.
Neues CO2-Label für Autos
Mit Beginn des neuen Monats endet die Übergangsfrist für die CO2-Label bei Autohändlern. Ab dem 1. Mai muss sich die Kennzeichnung auf die absoluten CO2-Emissionen in Gramm beziehen, der bisherige Bezug zum Fahrzeuggewicht entfällt, wie die Bundesregierung mitteilt.
Das alte Label war unter anderem vom ADAC kritisiert worden, weil der Verbrauch in Relation zum Gewicht des Fahrzeugs gesetzt worden war. Schwere Autos, die zwar deutlich mehr, aber nicht doppelt so viel verbrauchten wie leichtere Modelle, schnitten dadurch oftmals besser ab. Vom Prinzip erinnert die Kennzeichnung mit den Pfeilen und grünen und roten Balken an bekannte Energieeffizienzklassen, beispielsweise beim Kühlschrank.
DB-Streckenagent wird eingestellt
Die Deutsche Bahn stellt ab 2. Mai ihre App „DB Streckenagent“ ein. Zukünftig wolle das Unternehmen Verbindungssuche, Ticketbuchung und Echtzeitinformation für den Bahnverkehr im „DB Navigator“ bündeln. Beliebte Funktionen aus dem Streckenagenten sollen nach Angaben der Bahn in der Software ergänzt werden.
E-Roller-Verbot in Bus und Bahn
In einigen Städten wie München oder Düsseldorf ist die Mitnahme von E-Scootern bereits verboten, ab 1. Mai ziehen auch Berlin und Leipzig nach. Grund für die Entscheidung der Verkehrsbetriebe sind den Unternehmen zufolge Sicherheitsbedenken und ein erhöhtes Brand- und Explosionsrisiko. Der Verband Deutscher Verkehrsunternehmen hatte seinen Mitgliedern im Februar empfohlen, die Mitnahme von E-Scootern zu untersagen.
Neues Feld für Doktortitel im Ausweis
Bisher stand der Doktortitel direkt vor dem Nachnamen im deutschen Personalausweis. In Zukunft gibt es dafür ein Extrakästchen auf der Rückseite des Dokuments. Damit sollen Irritationen bei Grenzkontrollen im Ausland vermieden werden, wie es in der Verordnung des Bundesinnenministeriums heißt. Wer ab dem 2. Mai einen neuen Ausweis beantragt, bekommt bereits die neue Version. (AFP)"
AI,Tagesspiegel,2024-04-29,https://www.tagesspiegel.de/berlin/berliner-wirtschaft/kunstliche-intelligenz-fur-die-klimaresilienz-wie-eine-franzosin-berlins-wasserversorgung-sichert-11535047.html,Künstliche Intelligenz für die Klimaresilienz: Wie eine Französin Berlins Wasserversorgung sichert,"Die Stadt Berlin wächst, aber der Verbrauch an Trinkwasser stagniert – ein Indiz für die zunehmende Wertschätzung der lebenswichtigen Ressource. Nach mehreren Dürrejahren ist das Thema Wasserknappheit in den Köpfen der Verbraucher angekommen. Das war nicht immer so, erinnert sich Pascale Rouault, die neue Chefin des Kompetenzzentrums Wasser Berlin."
Künstliche Intelligenz,Tagesspiegel,2024-04-25,https://www.tagesspiegel.de/berlin/berliner-wirtschaft/ki-furs-callcenter-berliner-start-up-will-hotlines-weniger-nervig-machen-11571518.html,KI fürs Callcenter: Berliner Start-up will Hotlines weniger nervig machen,"Oft sind es kleine, unscheinbare Entscheidungen, die große Auswirkungen auf das weitere Leben haben. Bei Malte Kosub war es die Teilnahme an einem Unternehmerforum der Stiftung der deutschen Wirtschaft. Tausende Dinge hatte er im Kopf, die Reise wollte er daher absagen, erst in letzter Minute entschloss er sich, doch nach Berlin zu fahren. Dort lernte er Stefan Ostwald kennen und beide diskutierten angeregt über Alexa, den Google Assistent und Siri, die Sprachassistenten waren vor sieben Jahren gerade das neue, große Ding."
Künstliche Intelligenz,Tagesspiegel,2024-04-24,https://www.tagesspiegel.de/gesellschaft/die-nachste-stufe-kunstlicher-intelligenz-bald-wird-menschliches-denken-reproduzierbar-sein-11530859.html,Die nächste Stufe künstlicher Intelligenz: „Bald wird menschliches Denken reproduzierbar sein“,"Herr Hegelich, Sie gehen davon aus, dass die Menschheit ganz kurz vor einem Durchbruch in Richtung einer allgemeinen künstlichen Intelligenz steht, kurz AGI genannt. Was bedeutet das konkret?Zunächst ist AGI kein besonders gut definierter Begriff, damit sind oft verschiedene Dinge gemeint. Ich meine mit meiner Aussage, dass wir bezüglich der logischen und kognitiven Fähigkeiten des Menschen, also dem Denken, sehr bald so weit sind, dass sie von künstlicher Intelligenz reproduziert werden können."
Künstliche Intelligenz,Tagesspiegel,2024-04-23,https://www.tagesspiegel.de/berlin/berliner-wirtschaft/ki-watson-ermittelt-fur-berlin-landesverwaltungsamt-uberfuhrt-beihilfe-betruger-11558585.html,KI „Watson“ ermittelt für Berlin: Landesverwaltungsamt überführt Beihilfe-Betrüger,"Die Beihilfestelle im Landesverwaltungsamt bearbeitet jedes Jahr rund 660.000 Anträge von Landesbediensteten, die einen Anspruch auf Extraleistungen im Krankheits- oder Pflegefall haben. Weil es teils um hohe finanzielle Beträge geht, gibt es einen systemimmanenten Anreiz zum Abrechnungsbetrug."
AI,Tagesspiegel,2024-04-24,https://www.tagesspiegel.de/gesellschaft/die-nachste-stufe-kunstlicher-intelligenz-bald-wird-menschliches-denken-reproduzierbar-sein-11530859.html,Die nächste Stufe künstlicher Intelligenz: „Bald wird menschliches Denken reproduzierbar sein“,"Herr Hegelich, Sie gehen davon aus, dass die Menschheit ganz kurz vor einem Durchbruch in Richtung einer allgemeinen künstlichen Intelligenz steht, kurz AGI genannt. Was bedeutet das konkret?Zunächst ist AGI kein besonders gut definierter Begriff, damit sind oft verschiedene Dinge gemeint. Ich meine mit meiner Aussage, dass wir bezüglich der logischen und kognitiven Fähigkeiten des Menschen, also dem Denken, sehr bald so weit sind, dass sie von künstlicher Intelligenz reproduziert werden können."
Artificial Intelligence,Tagesspiegel,2024-04-24,https://www.tagesspiegel.de/gesellschaft/die-nachste-stufe-kunstlicher-intelligenz-bald-wird-menschliches-denken-reproduzierbar-sein-11530859.html,Die nächste Stufe künstlicher Intelligenz: „Bald wird menschliches Denken reproduzierbar sein“,"Herr Hegelich, Sie gehen davon aus, dass die Menschheit ganz kurz vor einem Durchbruch in Richtung einer allgemeinen künstlichen Intelligenz steht, kurz AGI genannt. Was bedeutet das konkret?Zunächst ist AGI kein besonders gut definierter Begriff, damit sind oft verschiedene Dinge gemeint. Ich meine mit meiner Aussage, dass wir bezüglich der logischen und kognitiven Fähigkeiten des Menschen, also dem Denken, sehr bald so weit sind, dass sie von künstlicher Intelligenz reproduziert werden können."
KI,Tagesspiegel,2024-04-25,https://www.tagesspiegel.de/kultur/forced-entertainment-im-berliner-hau-smarte-loops-und-ki-stimmen-11570495.html,Forced Entertainment im Berliner HAU: Smarte Loops und KI-Stimmen,"„Test, Test, eins, zwei, drei, ist das Mikrofon an?“. So beginnen Proben, Stand-up-Shows oder Veranstaltungen, die ganz einfach Probleme mit der Technik haben. Und so fängt auch der Abend „Signal to Noise“ der britischen Gruppe Forced Entertainment im koproduzierenden HAU Hebbel am Ufer an – wobei „anfangen“ hier ein relativer Begriff ist."
